"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.333593750E4,1.379735323E-3
1.335937500E4,9.696879598E-4
1.338281250E4,2.449379754E-3
1.340625000E4,1.229831797E-3
1.342968750E4,1.129864815E-3
1.345312500E4,1.073080801E-3
1.347656250E4,1.107549577E-3
1.350000000E4,4.703099496E-4
1.352343750E4,1.437531856E-3
1.354687500E4,1.183172280E-3
1.357031250E4,4.332385385E-4
1.359375000E4,8.587797747E-4
1.361718750E4,1.304698454E-3
1.364062500E4,1.223290610E-3
1.366406250E4,8.995357678E-4
1.368750000E4,1.396021944E-3
1.371093750E4,1.463469745E-3
1.373437500E4,1.279681719E-3
1.375781250E4,1.030148508E-3
1.378125000E4,5.605942988E-4
1.380468750E4,8.756061214E-4
1.382812500E4,1.058176774E-3
1.385156250E4,1.581985819E-3
1.387500000E4,1.514909290E-3
1.389843750E4,1.292460361E-3
1.392187500E4,6.705129300E-4
1.394531250E4,1.240699096E-3
1.396875000E4,6.528747678E-4
1.399218750E4,8.518150744E-4
1.401562500E4,8.185154933E-4
1.403906250E4,6.402406231E-4
1.406250000E4,9.134466372E-4
1.408593750E4,7.327465190E-4
1.410937500E4,1.193539883E-3
1.413281250E4,6.808954937E-4
1.415625000E4,7.535847046E-4
1.417968750E4,6.644157771E-4
1.420312500E4,7.692572378E-4
1.422656250E4,1.171697886E-3
1.425000000E4,1.154598356E-3
1.427343750E4,1.120004828E-3
1.429687500E4,1.325530819E-3
1.432031250E4,1.211158074E-3
1.434375000E4,9.000438909E-4
1.436718750E4,8.531612413E-4
1.439062500E4,8.882954990E-4
1.441406250E4,9.810827600E-4
1.443750000E4,1.360054045E-3
1.446093750E4,7.497626419E-4
1.448437500E4,1.076757081E-3
1.450781250E4,1.167904366E-3
1.453125000E4,1.446686239E-3
1.455468750E4,1.022494758E-3
1.457812500E4,1.141565293E-3
1.460156250E4,8.971254572E-4
1.462500000E4,1.118085410E-3
1.464843750E4,9.461056632E-4
1.467187500E4,1.026671982E-3
1.469531250E4,1.155846636E-3
1.471875000E4,9.705110762E-4
1.474218750E4,1.185788804E-3
1.476562500E4,1.030789380E-3
1.478906250E4,1.259034042E-3
1.481250000E4,1.374770639E-3
1.483593750E4,6.921742066E-4
1.485937500E4,6.871059904E-4
1.488281250E4,9.602985371E-4
1.490625000E4,9.793302024E-4
1.492968750E4,8.990428929E-4
1.495312500E4,1.013248109E-3
1.497656250E4,1.018823825E-3
1.500000000E4,1.156529644E-3
1.502343750E4,1.068870820E-3
1.504687500E4,1.019282170E-3
1.507031250E4,9.041640051E-4
1.509375000E4,1.046787802E-3
1.511718750E4,7.605661591E-4
1.514062500E4,9.240221622E-4
1.516406250E4,8.795579335E-4
1.518750000E4,1.342660160E-3
1.521093750E4,9.856181151E-4
1.523437500E4,7.695644651E-4
1.525781250E4,1.389358446E-3
1.528125000E4,8.950357085E-4
1.530468750E4,1.067368776E-3
1.532812500E4,9.543074011E-4
1.535156250E4,9.908658220E-4
1.537500000E4,1.275960610E-3
1.539843750E4,1.445813743E-3
1.542187500E4,1.071417621E-3
1.544531250E4,9.731725343E-4
1.546875000E4,9.012852800E-4
1.549218750E4,1.090789550E-3
1.551562500E4,1.297646344E-3
1.553906250E4,8.646902957E-4
1.556250000E4,1.171590196E-3
1.558593750E4,6.169942452E-4
1.560937500E4,1.239731881E-3
