"Time (s)","Recording (a.u.)"
1.339583333E-2,1.018933253E-3
1.341666667E-2,1.263004960E-3
1.343750000E-2,1.466600224E-3
1.345833333E-2,1.615638146E-3
1.347916667E-2,1.745973714E-3
1.350000000E-2,1.987229567E-3
1.352083333E-2,2.454372589E-3
1.354166667E-2,3.106935415E-3
1.356250000E-2,3.856636118E-3
1.358333333E-2,4.680249374E-3
1.360416667E-2,5.533953663E-3
1.362500000E-2,6.416310091E-3
1.364583333E-2,7.348315790E-3
1.366666667E-2,8.265962824E-3
1.368750000E-2,9.077596478E-3
1.370833333E-2,9.691854008E-3
1.372916667E-2,1.001771167E-2
1.375000000E-2,1.005355548E-2
1.377083333E-2,9.939740412E-3
1.379166667E-2,9.855069220E-3
1.381250000E-2,9.900880046E-3
1.383333333E-2,1.000703592E-2
1.385416667E-2,1.006279141E-2
1.387500000E-2,1.014292054E-2
1.389583333E-2,1.035263948E-2
1.391666667E-2,1.070047915E-2
1.393750000E-2,1.121613197E-2
1.395833333E-2,1.195193082E-2
1.397916667E-2,1.279019378E-2
1.400000000E-2,1.349517889E-2
1.402083333E-2,1.389928721E-2
1.404166667E-2,1.394710038E-2
1.406250000E-2,1.383616775E-2
1.408333333E-2,1.372411288E-2
1.410416667E-2,1.362096332E-2
1.412500000E-2,1.359200664E-2
1.414583333E-2,1.354508288E-2
1.416666667E-2,1.332721114E-2
1.418750000E-2,1.286585256E-2
1.420833333E-2,1.219633408E-2
1.422916667E-2,1.151564158E-2
1.425000000E-2,1.095432788E-2
1.427083333E-2,1.050231606E-2
1.429166667E-2,1.013801154E-2
1.431250000E-2,9.878735989E-3
1.433333333E-2,9.683285840E-3
1.435416667E-2,9.441679344E-3
1.437500000E-2,9.048800915E-3
1.439583333E-2,8.439525031E-3
1.441666667E-2,7.625635713E-3
1.443750000E-2,6.616577506E-3
1.445833333E-2,5.460320041E-3
1.447916667E-2,4.277966917E-3
1.450000000E-2,3.205820452E-3
1.452083333E-2,2.330060583E-3
1.454166667E-2,1.585096354E-3
1.456250000E-2,8.628217620E-4
1.458333333E-2,1.467118273E-4
1.460416667E-2,-4.936708719E-4
1.462500000E-2,-9.986945661E-4
1.464583333E-2,-1.357728150E-3
1.466666667E-2,-1.518484205E-3
1.468750000E-2,-1.476939069E-3
1.470833333E-2,-1.401837566E-3
1.472916667E-2,-1.422366477E-3
1.475000000E-2,-1.531406073E-3
1.477083333E-2,-1.728246687E-3
1.479166667E-2,-2.052506665E-3
1.481250000E-2,-2.544088755E-3
1.483333333E-2,-3.073521424E-3
1.485416667E-2,-3.447580151E-3
1.487500000E-2,-3.612547647E-3
1.489583333E-2,-3.547239350E-3
1.491666667E-2,-3.273745999E-3
1.493750000E-2,-2.854499500E-3
1.495833333E-2,-2.402825747E-3
1.497916667E-2,-2.122411039E-3
1.500000000E-2,-2.057221718E-3
1.502083333E-2,-2.085995395E-3
1.504166667E-2,-2.093537012E-3
1.506250000E-2,-2.025188878E-3
1.508333333E-2,-1.989178127E-3
1.510416667E-2,-2.078135032E-3
1.512500000E-2,-2.276353305E-3
1.514583333E-2,-2.602726920E-3
1.516666667E-2,-3.012076020E-3
1.518750000E-2,-3.415943123E-3
1.520833333E-2,-3.724467009E-3
1.522916667E-2,-3.828469664E-3
1.525000000E-2,-3.705521580E-3
1.527083333E-2,-3.419315442E-3
1.529166667E-2,-3.134035971E-3
1.531250000E-2,-3.048893530E-3
1.533333333E-2,-3.269330831E-3
1.535416667E-2,-3.754833248E-3
1.537500000E-2,-4.366993904E-3
1.539583333E-2,-4.958499223E-3
1.541666667E-2,-5.376886111E-3
1.543750000E-2,-5.601439625E-3
1.545833333E-2,-5.744009744E-3
1.547916667E-2,-5.898610689E-3
1.550000000E-2,-6.045687944E-3
1.552083333E-2,-6.064035464E-3
1.554166667E-2,-5.957942922E-3
1.556250000E-2,-5.799586885E-3
1.558333333E-2,-5.652669817E-3
1.560416667E-2,-5.680973642E-3
1.562500000E-2,-6.003513001E-3
1.564583333E-2,-6.643074565E-3
1.566666667E-2,-7.464368362E-3
